                         List of tables
 Schema |             Name             | Type  |     Owner      
--------+------------------------------+-------+----------------
 public | ai_alerts                    | table | nixlifeos_user
 public | ai_insights                  | table | nixlifeos_user
 public | ai_predictions               | table | nixlifeos_user
 public | ai_recommendation_feedback   | table | nixlifeos_user
 public | ai_recommendation_rules      | table | nixlifeos_user
 public | ai_recommendations           | table | nixlifeos_user
 public | ai_reports                   | table | nixlifeos_user
 public | ai_user_daily_scores         | table | nixlifeos_user
 public | audit_logs                   | table | nixlifeos_user
 public | automation_rules             | table | nixlifeos_user
 public | automation_trigger_logs      | table | nixlifeos_user
 public | cache                        | table | nixlifeos_user
 public | cache_locks                  | table | nixlifeos_user
 public | calorie_entries              | table | nixlifeos_user
 public | error_logs                   | table | nixlifeos_user
 public | expenses                     | table | nixlifeos_user
 public | failed_jobs                  | table | nixlifeos_user
 public | finance_accounts             | table | nixlifeos_user
 public | finance_budget_lines         | table | nixlifeos_user
 public | finance_budgets              | table | nixlifeos_user
 public | finance_core_tables          | table | nixlifeos_user
 public | finance_transactions         | table | nixlifeos_user
 public | health_alert_rules           | table | nixlifeos_user
 public | health_alerts                | table | nixlifeos_user
 public | health_food_items            | table | nixlifeos_user
 public | health_hydration_logs        | table | nixlifeos_user
 public | health_lab_tests             | table | nixlifeos_user
 public | health_meal_log_items        | table | nixlifeos_user
 public | health_meal_logs             | table | nixlifeos_user
 public | health_medication_dose_logs  | table | nixlifeos_user
 public | health_medication_reminders  | table | nixlifeos_user
 public | health_medications           | table | nixlifeos_user
 public | health_mood_logs             | table | nixlifeos_user
 public | health_nutrition_logs        | table | nixlifeos_user
 public | health_nutrition_profiles    | table | nixlifeos_user
 public | health_profile               | table | nixlifeos_user
 public | health_sleep_logs            | table | nixlifeos_user
 public | health_step_log              | table | nixlifeos_user
 public | health_weight_logs           | table | nixlifeos_user
 public | incomes                      | table | nixlifeos_user
 public | job_batches                  | table | nixlifeos_user
 public | jobs                         | table | nixlifeos_user
 public | life_balance_scores          | table | nixlifeos_user
 public | life_notifications           | table | nixlifeos_user
 public | migrations                   | table | nixlifeos_user
 public | model_has_permissions        | table | nixlifeos_user
 public | model_has_roles              | table | nixlifeos_user
 public | notification_preferences     | table | nixlifeos_user
 public | nutrition_custom_foods       | table | nixlifeos_user
 public | nutrition_food_aliases       | table | nixlifeos_user
 public | nutrition_food_categories    | table | nixlifeos_user
 public | nutrition_food_servings      | table | nixlifeos_user
 public | nutrition_food_sources       | table | nixlifeos_user
 public | nutrition_foods              | table | nixlifeos_user
 public | permissions                  | table | nixlifeos_user
 public | personal_access_tokens       | table | nixlifeos_user
 public | plans                        | table | nixlifeos_user
 public | productivity_calendar_events | table | nixlifeos_user
 public | productivity_goals           | table | nixlifeos_user
 public | productivity_habit_check_ins | table | nixlifeos_user
 public | productivity_habits          | table | nixlifeos_user
 public | productivity_tasks           | table | nixlifeos_user
 public | project_milestones           | table | nixlifeos_user
 public | project_status_updates       | table | nixlifeos_user
 public | project_tasks                | table | nixlifeos_user
 public | projects                     | table | nixlifeos_user
 public | role_has_permissions         | table | nixlifeos_user
 public | roles                        | table | nixlifeos_user
 public | step_entries                 | table | nixlifeos_user
 public | subscription_usage           | table | nixlifeos_user
 public | subscriptions                | table | nixlifeos_user
 public | system_monitoring_logs       | table | nixlifeos_user
 public | tasks                        | table | nixlifeos_user
 public | users                        | table | nixlifeos_user
 public | weight_entries               | table | nixlifeos_user
(75 rows)

