Package                   Current   Wanted  Latest  Location                               Depended by
@tailwindcss/vite           4.2.4    4.3.0   4.3.0  node_modules/@tailwindcss/vite         frontend
@types/jsdom               28.0.1   28.0.3  28.0.3  node_modules/@types/jsdom              frontend
@types/node               24.12.2  24.12.4  25.8.0  node_modules/@types/node               frontend
@vitejs/plugin-vue          6.0.5    6.0.7   6.0.7  node_modules/@vitejs/plugin-vue        frontend
@vitest/eslint-plugin      1.6.15   1.6.17  1.6.17  node_modules/@vitest/eslint-plugin     frontend
@vue/test-utils             2.4.6   2.4.10  2.4.10  node_modules/@vue/test-utils           frontend
@vueuse/core               14.2.1   14.3.0  14.3.0  node_modules/@vueuse/core              frontend
axios                      1.15.2   1.16.1  1.16.1  node_modules/axios                     frontend
eslint                     10.2.0   10.4.0  10.4.0  node_modules/eslint                    frontend
eslint-plugin-oxlint       1.57.0   1.57.0  1.65.0  node_modules/eslint-plugin-oxlint      frontend
eslint-plugin-vue          10.8.0   10.8.0  10.9.1  node_modules/eslint-plugin-vue         frontend
jiti                        2.6.1    2.7.0   2.7.0  node_modules/jiti                      frontend
jsdom                      29.0.2   29.1.1  29.1.1  node_modules/jsdom                     frontend
oxlint                     1.57.0   1.57.0  1.65.0  node_modules/oxlint                    frontend
postcss                    8.5.10   8.5.14  8.5.14  node_modules/postcss                   frontend
prettier                    3.8.1    3.8.1   3.8.3  node_modules/prettier                  frontend
tailwindcss                3.4.19   3.4.19   4.3.0  node_modules/tailwindcss               frontend
typescript                  6.0.2    6.0.3   6.0.3  node_modules/typescript                frontend
vite                        8.0.8   8.0.13  8.0.13  node_modules/vite                      frontend
vite-plugin-vue-devtools    8.1.1    8.1.2   8.1.2  node_modules/vite-plugin-vue-devtools  frontend
vitest                      4.1.4    4.1.6   4.1.6  node_modules/vitest                    frontend
vue                        3.5.32   3.5.34  3.5.34  node_modules/vue                       frontend
vue-router                  4.6.4    4.6.4   5.0.7  node_modules/vue-router                frontend
vue-tsc                     3.2.6    3.2.9   3.2.9  node_modules/vue-tsc                   frontend
zod                         4.3.6    4.4.3   4.4.3  node_modules/zod                       frontend
