phase,group,name,method,path,requests,concurrency,failed,non2xx,rps,p95_ms
smoke,core,dashboard_summary,GET,/dashboard/summary,50,5,0,0,65.66,119
smoke,core,life_balance_summary,GET,/life-balance/summary,50,5,0,0,92.10,76
smoke,finance,finance_accounts,GET,/finance/accounts,50,5,0,0,63.77,151
smoke,finance,finance_transactions,GET,/finance/transactions,50,5,0,0,73.57,105
smoke,finance,finance_budgets,GET,/finance/budgets,50,5,0,0,63.29,124
smoke,ai,finance_ai_insights,GET,/finance/ai-insights,50,5,0,0,67.26,129
smoke,health,health_dashboard,GET,/health/dashboard,50,5,49,0,67.69,104
smoke,health,health_steps,GET,/health/steps,50,5,0,0,78.28,108
smoke,health,health_nutrition_summary,GET,/health/nutrition/summary,50,5,0,0,90.43,79
smoke,health,health_hydration_daily,GET,/health/hydration/summary/daily,50,5,0,0,92.75,80
smoke,ai,health_ai_insights,GET,/health/ai-insights,50,5,0,0,46.28,185
smoke,projects,projects_dashboard,GET,/projects/dashboard,50,5,49,0,92.80,70
smoke,projects,projects_index,GET,/projects,50,5,0,0,105.02,59
smoke,productivity,productivity_dashboard,GET,/productivity/dashboard,50,5,49,0,101.99,59
smoke,productivity,productivity_tasks,GET,/productivity/tasks,50,5,0,0,100.59,67
smoke,ai,productivity_ai_insights,GET,/productivity/ai-insights,50,5,0,0,61.51,111
smoke,ai,ai_recommendations,GET,/ai/recommendations,50,5,0,0,103.53,59
smoke,ai,ai_daily_scores,GET,/ai/scores/daily,50,5,0,0,111.37,56
smoke,auth,auth_me,GET,/auth/me,50,5,0,0,73.72,98
baseline,core,dashboard_summary,GET,/dashboard/summary,200,20,0,0,119.02,194
baseline,core,life_balance_summary,GET,/life-balance/summary,200,20,0,0,110.16,229
baseline,finance,finance_accounts,GET,/finance/accounts,200,20,0,0,289.45,304
baseline,finance,finance_transactions,GET,/finance/transactions,200,20,0,0,108.97,233
baseline,finance,finance_budgets,GET,/finance/budgets,200,20,0,0,101.88,278
baseline,ai,finance_ai_insights,GET,/finance/ai-insights,200,20,0,0,77.55,335
baseline,health,health_dashboard,GET,/health/dashboard,200,20,0,0,90.50,291
baseline,health,health_steps,GET,/health/steps,200,20,0,0,87.39,334
baseline,health,health_nutrition_summary,GET,/health/nutrition/summary,200,20,0,0,86.65,364
baseline,health,health_hydration_daily,GET,/health/hydration/summary/daily,200,20,0,0,80.51,331
baseline,ai,health_ai_insights,GET,/health/ai-insights,200,20,0,0,68.91,364
baseline,projects,projects_dashboard,GET,/projects/dashboard,200,20,0,0,92.99,285
baseline,projects,projects_index,GET,/projects,200,20,0,0,86.11,304
baseline,productivity,productivity_dashboard,GET,/productivity/dashboard,200,20,0,0,93.54,281
baseline,productivity,productivity_tasks,GET,/productivity/tasks,200,20,0,0,88.29,296
baseline,ai,productivity_ai_insights,GET,/productivity/ai-insights,200,20,0,0,55.69,432
baseline,ai,ai_recommendations,GET,/ai/recommendations,200,20,0,0,150.97,350
baseline,ai,ai_daily_scores,GET,/ai/scores/daily,200,20,0,0,90.01,245
baseline,auth,auth_me,GET,/auth/me,200,20,0,0,75.42,356
stress,core,dashboard_summary,GET,/dashboard/summary,500,50,0,0,70.13,843
stress,core,life_balance_summary,GET,/life-balance/summary,500,50,0,0,68.54,1081
stress,finance,finance_accounts,GET,/finance/accounts,500,50,0,0,91.16,651
stress,finance,finance_transactions,GET,/finance/transactions,500,50,0,0,113.74,618
stress,finance,finance_budgets,GET,/finance/budgets,500,50,0,0,86.81,681
stress,ai,finance_ai_insights,GET,/finance/ai-insights,500,50,0,0,77.92,719
stress,health,health_dashboard,GET,/health/dashboard,500,50,499,0,93.48,600
stress,health,health_steps,GET,/health/steps,500,50,0,0,92.12,611
stress,health,health_nutrition_summary,GET,/health/nutrition/summary,500,50,0,0,79.02,986
stress,health,health_hydration_daily,GET,/health/hydration/summary/daily,500,50,0,0,113.34,634
stress,ai,health_ai_insights,GET,/health/ai-insights,500,50,0,0,66.37,843
stress,projects,projects_dashboard,GET,/projects/dashboard,500,50,499,0,92.18,628
stress,projects,projects_index,GET,/projects,500,50,0,0,89.77,651
stress,productivity,productivity_dashboard,GET,/productivity/dashboard,500,50,499,0,86.65,637
stress,productivity,productivity_tasks,GET,/productivity/tasks,500,50,0,0,115.14,641
stress,ai,productivity_ai_insights,GET,/productivity/ai-insights,500,50,0,0,52.85,1073
stress,ai,ai_recommendations,GET,/ai/recommendations,500,50,0,0,88.57,629
stress,ai,ai_daily_scores,GET,/ai/scores/daily,500,50,0,0,92.12,615
stress,auth,auth_me,GET,/auth/me,500,50,0,0,72.59,801
